id,published_at,name,url,alternate_url,professional_roles,salary.from,salary.to,salary.currency,salary.gross,address.lat,address.lng,address.raw,address.metro.station_name,address.metro.line_name,employer.name,employer.accredited_it_employer,schedule.name,experience.name,department.name,job_type,intern,junior,middle,senior,lead,net_salary_from_rur,net_salary_to_rur,salary_info,date_published
88051779,2023-10-11T15:42:51+0300,NLP data scientist,https://api.hh.ru/vacancies/88051779?host=hh.ru,https://hh.ru/vacancy/88051779,"[{'id': '10', 'name': 'Аналитик'}]",,,,,55.762779,37.620941,"Москва, Неглинная улица, 12",,,Центральный банк Российской Федерации,False,Гибкий график,От 3 до 6 лет,,DS,0,0,1,1,0,,,0,2023-10-11
85586413,2023-10-05T13:39:00+0300,Аналитик данных / Data Scientist,https://api.hh.ru/vacancies/85586413?host=hh.ru,https://hh.ru/vacancy/85586413,"[{'id': '10', 'name': 'Аналитик'}]",,,,,,,,,,ГКУ Инфогород,False,Полный день,От 3 до 6 лет,,DS,0,0,1,1,0,,,0,2023-10-05
88408703,2023-10-19T15:43:12+0300,Data Scientist/Python-разработчик,https://api.hh.ru/vacancies/88408703?host=hh.ru,https://hh.ru/vacancy/88408703,"[{'id': '165', 'name': 'Дата-сайентист'}]",,,,,55.776006,37.5531,"Москва, Беговая улица, 3с1",Беговая,Таганско-Краснопресненская,ИК СИБИНТЕК,True,Полный день,От 1 года до 3 лет,"""Сибинтек-Софт""",DS,0,1,1,0,0,,,0,2023-10-19
88283167,2023-10-17T12:50:05+0300,Data Scientist,https://api.hh.ru/vacancies/88283167?host=hh.ru,https://hh.ru/vacancy/88283167,"[{'id': '165', 'name': 'Дата-сайентист'}]",,,,,55.695195,37.530229,"Москва, Ломоносовский проспект, 25к2",Университет,Сокольническая,Tennisi,False,Полный день,От 3 до 6 лет,,DS,0,0,1,1,0,,,0,2023-10-17
85435668,2023-10-27T18:13:50+0300,ML - аналитик в Маркет,https://api.hh.ru/vacancies/85435668?host=hh.ru,https://hh.ru/vacancy/85435668,"[{'id': '10', 'name': 'Аналитик'}]",,,,,,,,,,Яндекс,False,Полный день,От 3 до 6 лет,Яндекс,MLE or DS,0,0,1,1,0,,,0,2023-10-27
88273774,2023-10-17T11:05:24+0300,Middle/Senior Data Scientist в команду NLP,https://api.hh.ru/vacancies/88273774?host=hh.ru,https://hh.ru/vacancy/88273774,"[{'id': '165', 'name': 'Дата-сайентист'}]",,,,,,,,,,2ГИС,False,Полный день,От 3 до 6 лет,,MLE or DS,0,0,1,1,0,,,0,2023-10-17
88281246,2023-10-22T19:48:50+0300,Data Scientist,https://api.hh.ru/vacancies/88281246?host=hh.ru,https://hh.ru/vacancy/88281246,"[{'id': '165', 'name': 'Дата-сайентист'}]",,,,,,,,,,Skyeng,False,Удаленная работа,Более 6 лет,,DS,0,0,0,0,1,,,0,2023-10-22
88698987,2023-10-26T16:26:02+0300,ML-инженер (CV\SDA),https://api.hh.ru/vacancies/88698987?host=hh.ru,https://hh.ru/vacancy/88698987,"[{'id': '96', 'name': 'Программист, разработчик'}]",,,,,55.771282,37.651133,"Москва, Центральный административный округ, Красносельский район, Каланчёвская улица, 13",,,Цифровые Сервисы,False,Полный день,От 3 до 6 лет,,MLE,0,0,1,1,0,,,0,2023-10-26
85595301,2023-10-16T18:55:01+0300,Data Scientist/Эксперт по валидации моделей,https://api.hh.ru/vacancies/85595301?host=hh.ru,https://hh.ru/vacancy/85595301,"[{'id': '165', 'name': 'Дата-сайентист'}]",,,,,,,,,,РОСБАНК,False,Удаленная работа,От 3 до 6 лет,«РОСБАНК»,DS,0,0,0,0,1,,,0,2023-10-16
87537097,2023-09-29T16:30:47+0300,ML Engineer / ML developer / ML разработчик,https://api.hh.ru/vacancies/87537097?host=hh.ru,https://hh.ru/vacancy/87537097,"[{'id': '165', 'name': 'Дата-сайентист'}]",,,,,,,,,,Softintermob LLC,False,Удаленная работа,От 3 до 6 лет,,MLE,0,0,1,1,0,,,0,2023-09-29
88340026,2023-10-27T12:48:28+0300,Senior Data Scientist / Старший аналитик данных,https://api.hh.ru/vacancies/88340026?host=hh.ru,https://hh.ru/vacancy/88340026,"[{'id': '10', 'name': 'Аналитик'}]",250000.0,400000.0,RUR,False,55.760884,37.616773,"Москва, улица Кузнецкий Мост, 4/3с1",Кузнецкий мост,Таганско-Краснопресненская,CyberBrain (ООО Брайнфарм),True,Полный день,От 3 до 6 лет,,DS,0,0,1,1,0,250000.0,400000.0,1,2023-10-27
88056378,2023-10-11T16:34:17+0300,Ассистент/ментор дисциплин по математике и машинному обучению программы по Data Science,https://api.hh.ru/vacancies/88056378?host=hh.ru,https://hh.ru/vacancy/88056378,"[{'id': '132', 'name': 'Учитель, преподаватель, педагог'}]",,,,,,,,,,Национальный исследовательский университет Высшая школа экономики,False,Полный день,Нет опыта,,DS,1,0,0,0,0,,,0,2023-10-11
